parreira,par-rei-ra(6),,
municipal,mu-ni-ci-pal(6),,
pereira,pe-rei-ra(6),,
advogado,ad-vo-ga-do(5),,
levar,le-var(6),,
avenida,a-ve-ni-da(6),,
troca,tro-ca(6),,
hotel,ho-tel(6),,
assunto,as-sun-to(6),,
organização,or-ga-ni-za-ção(6),,
usar,u-sar(6),,
disputa,dis-pu-ta(6),,
opinião,o-pi-ni-ão(5),,
presos,pre-sos(1),,
viagem,vi-a-gem(4),,
quadro,qua-dro(6),,
milhão,mi-lhão(6),,
pedro,pe-dro(2),,
torno,tor-no(6),,
brizola,bri-zo-la(1),,
cabeça,ca-be-ça(5),,
diferença,di-fe-ren-ça(5),,
tiveram,ti-ve-ram(2),,
parque,par-que(5),,
departamento,de-par-ta-men-to(6),,
inglês,in-glês(6),,
mp,mp(1),,
constituição,cons-ti-tu-i-ção(5),,
ganhar,ga-nhar(6),,
curso,cur-so(6),,
filhos,fi-lhos(1),,
empresário,em-pre-sá-ri-o(3),,
mário,má-rio(1),,
bc,bc(1),,
cpi,cpi(1),,
washington,was-hing-ton(1),,
minas,mi-nas(1),,
nomes,no-mes(1),,
aconteceu,a-con-te-ceu(1),,
americano,a-me-ri-ca-no(6),,
acabou,a-ca-bou(1),,
reforma,re-for-ma(6),,
encontrar,en-con-trar(6),,
mudança,mu-dan-ça(5),,
criar,cri-ar(6),,
amigos,a-mi-gos(1),,
dívida,dí-vi-da(6),,
comum,co-mum(6),,
jorge,jor-ge(1),,
algo,al-go(6),,
paris,pa-ris(1),,
simples,sim-ples(4),,
médio,mé-di-o(4),,
evento,e-ven-to(6),,
diferentes,di-fe-ren-tes(1),,
entanto,en-tan-to(5),,
mão,mão(4),,
estudo,es-tu-do(6),,
londres,lon-dres(2),,
alves,al-ves(1),,
edição,e-di-ção(6),,
fundação,fun-da-ção(6),,
nelson,nel-son(1),,
saída,sa-í-da(5),,
comprar,com-prar(6),,
técnica,téc-ni-ca(5),,
regras,re-gras(3),,
perdeu,per-deu(1),,
veículos,ve-í-cu-los(1),,
alemão,a-le-mão(6),,
querem,que-rem(1),,
trabalhar,tra-ba-lhar(6),,
acidente,a-ci-den-te(6),,
foto,fo-to(5),foto(1),
federação,fe-de-ra-ção(6),,
luís,lu-ís(4),,
andré,an-dré(1),,
feira,fei-ra(6),,
pediu,pe-diu(1),,
voltar,vol-tar(6),,
aumentar,au-men-tar(6),,
entidade,en-ti-da-de(6),,
ajuda,a-ju-da(6),,
fundos,fun-dos(2),,
temporada,tem-po-ra-da(6),,
direitos,di-rei-tos(2),,
café,ca-fé(6),,
lançamento,lan-ça-men-to(5),,
m,m(1),,
ricardo,ri-car-do(3),,
francês,fran-cês(6),,
imagens,i-ma-gens(1),,
relações,re-la-ções(2),,
pm,pm(1),p-m(1),
esquerda,es-quer-da(6),,
lima,li-ma(5),,
carreira,car-rei-ra(6),,
paz,paz(4),,
peça,pe-ça(5),,
experiência,ex-pe-ri-ên-ci-a(4),,
povo,po-vo(6),,
prática,prá-ti-ca(6),,
ambiente,am-bi-en-te(5),,
tal,tal(4),,
resposta,res-pos-ta(6),,
participar,par-ti-ci-par(6),,
exposição,ex-po-si-ção(6),,
loja,lo-ja(5),,
nove,no-ve(6),,
baixa,bai-xa(6),,
comando,co-man-do(6),,
espécie,es-pé-ci-e(4),,
busca,bus-ca(6),,
abaixo,a-bai-xo(6),,
custa,cus-ta(6),,
efeito,e-fei-to(6),,
interesse,in-te-res-se(6),,
seguinte,se-guin-te(6),,
pais,pais(1),pa-is(1),
bahia,ba-hi-a(1),,
função,fun-ção(6),,
rússia,rús-sia(1),,
somente,so-men-te(6),,
tema,te-ma(6),,
casas,ca-sas(2),,
acesso,a-ces-so(6),,
festival,fes-ti-val(6),,
caixa,cai-xa(6),,
livros,li-vros(1),,
poucos,pou-cos(3),,
terão,te-rão(2),,
caminho,ca-mi-nho(6),,
sai,sai(3),,
desses,des-ses(2),,
fiscal,fis-cal(6),,
marco,mar-co(5),,
haverá,ha-ve-rá(1),,
impostos,im-pos-tos(1),,
moda,mo-da(5),,
méxico,mé-xi-co(2),,
usp,usp(1),,
santo,san-to(6),,
acusado,a-cu-sa-do(6),,
popular,po-pu-lar(6),,
câmbio,câm-bi-o(4),,
modo,mo-do(6),,
fala,fa-la(6),,
piloto,pi-lo-to(4),,
parlamentares,par-la-men-ta-res(2),,
preso,pre-so(6),,
informação,in-for-ma-ção(6),,
israel,is-ra-el(3),,
desempenho,de-sem-pe-nho(6),,
delegado,de-le-ga-do(6),,
estilo,es-ti-lo(6),,
ciro,ci-ro(2),,
sei,sei(1),,
fácil,fá-cil(6),,
razão,ra-zão(6),,
unidade,u-ni-da-de(5),,
pdt,pdt(1),,
regional,re-gi-o-nal(5),,
carvalho,car-va-lho(6),,
bolsa,bol-sa(6),,
banda,ban-da(5),,
pena,pe-na(5),,
deixa,dei-xa(6),,
tucano,tu-ca-no(6),,
avaliação,a-va-li-a-ção(5),,
acaba,a-ca-ba(1),,
liga,li-ga(5),,
chefe,che-fe(6),,
atenção,a-ten-ção(6),,
deus,deus(5),,
via,vi-a(6),,
idade,i-da-de(5),,
formação,for-ma-ção(6),,
leste,les-te(6),,
prêmio,prê-mi-o(2),,
dizem,di-zem(2),,
estádio,es-tá-di-o(4),,
necessidade,ne-ces-si-da-de(6),,
sociais,so-ci-ais(1),,
políticas,po-lí-ti-cas(1),,
respeito,res-pei-to(6),,
debate,de-ba-te(6),,
tendência,ten-dên-ci-a(4),,
energia,e-ner-gi-a(6),,
metros,me-tros(1),,
votação,vo-ta-ção(6),,
onu,o-nu(1),,
reajuste,re-a-jus-te(5),,
estabilização,es-ta-bi-li-za-ção(5),,
opção,op-ção(6),,
alguém,al-guém(6),,
conjunto,con-jun-to(6),,
perto,per-to(6),,
vila,vi-la(5),,
alimentos,a-li-men-tos(1),,
belo,be-lo(6),,
nessa,nes-sa(3),,
saiu,sa-iu(1),,
aliança,a-li-an-ça(4),,
b,b(2),,
entrou,en-trou(1),,
números,nú-me-ros(1),,
fizeram,fi-ze-ram(2),,
italiano,i-ta-li-a-no(5),,
c,c(2),,
leite,lei-te(5),,
aids,aids(3),,
procura,pro-cu-ra(6),,
eleitores,e-lei-to-res(1),,
portanto,por-tan-to(6),,
discurso,dis-cur-so(6),,
motivo,mo-ti-vo(6),,
necessário,ne-ces-sá-ri-o(4),,
rádio,rá-di-o(4),,
chamado,cha-ma-do(6),,
favor,fa-vor(6),,
membros,mem-bros(1),,
relatório,re-la-tó-ri-o(4),,
documento,do-cu-men-to(6),,
baixo,bai-xo(6),,
material,ma-te-ri-al(4),,
magalhães,ma-ga-lhães(1),,
pior,pi-or(6),,
perder,per-der(6),,
vídeo,ví-de-o(4),,
carta,car-ta(6),,
paraná,pa-ra-ná(6),,
praia,prai-a(6),,
treinador,trei-na-dor(6),,
mudar,mu-dar(6),,
realidade,re-a-li-da-de(5),,
década,dé-ca-da(6),,
leva,le-va(6),,
continuar,con-ti-nu-ar(6),,
armas,ar-mas(2),,
combate,com-ba-te(5),,
televisão,te-le-vi-são(6),,
expectativa,ex-pec-ta-ti-va(5),,
amigo,a-mi-go(6),,
bairro,bair-ro(6),,
conseguir,con-se-guir(6),,
sala,sa-la(6),,
prédio,pré-di-o(3),,
tom,tom(4),,
reúne,re-ú-ne(1),,
queria,que-ri-a(2),,
cara,ca-ra(6),,
espanha,es-pa-nha(1),,
comunicação,co-mu-ni-ca-ção(6),,
preto,pre-to(6),,
rubens,ru-bens(1),,
